Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CHS_Record and Playback_Mode_001,Edge Chromium 120,,,27-01-2024 09:51:11,27-01-2024 09:53:57,2m - 46.467s,PASSED
,,,,,,,
Test Cases/Cura Health Care Services_Record and Playback Modes/TC_CHS_Home_Validate Creating Account_001,Edge Chromium 120,,,27-01-2024 09:51:16,27-01-2024 09:51:44,28.726s,PASSED
"openBrowser("""")",Edge Chromium 120,,,27-01-2024 09:51:17,27-01-2024 09:51:28,10.915s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Edge Chromium 120,,,27-01-2024 09:51:28,27-01-2024 09:51:39,10.951s,PASSED
"click(findTestObject(""Object Repository/CHS_Pages_Create Account_OR/Page_CURA Healthcare Service/i_fa fa-bars""))",Edge Chromium 120,,,27-01-2024 09:51:39,27-01-2024 09:51:39,0.581s,PASSED
"click(findTestObject(""Object Repository/CHS_Pages_Create Account_OR/Page_CURA Healthcare Service/a_Login""))",Edge Chromium 120,,,27-01-2024 09:51:39,27-01-2024 09:51:41,1.304s,PASSED
"click(findTestObject(""Object Repository/CHS_Pages_Create Account_OR/Page_CURA Healthcare Service/input_form-control""))",Edge Chromium 120,,,27-01-2024 09:51:41,27-01-2024 09:51:41,0.667s,PASSED
"setText(findTestObject(""Object Repository/CHS_Pages_Create Account_OR/Page_CURA Healthcare Service/input_username""), ""John Doe"")",Edge Chromium 120,,,27-01-2024 09:51:41,27-01-2024 09:51:42,0.911s,PASSED
"setEncryptedText(findTestObject(""Object Repository/CHS_Pages_Create Account_OR/Page_CURA Healthcare Service/input_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Edge Chromium 120,,,27-01-2024 09:51:42,27-01-2024 09:51:43,0.647s,PASSED
"click(findTestObject(""Object Repository/CHS_Pages_Create Account_OR/Page_CURA Healthcare Service/button_Login""))",Edge Chromium 120,,,27-01-2024 09:51:43,27-01-2024 09:51:44,1.459s,PASSED
,,,,,,,
Test Cases/Cura Health Care Services_Record and Playback Modes/TC_CHS_HOME_Validate Take an Appointment_002,Edge Chromium 120,,,27-01-2024 09:51:44,27-01-2024 09:52:12,27.975s,PASSED
"openBrowser("""")",Edge Chromium 120,,,27-01-2024 09:51:47,27-01-2024 09:51:52,5.501s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Edge Chromium 120,,,27-01-2024 09:51:52,27-01-2024 09:52:01,8.600s,PASSED
"click(findTestObject(""Object Repository/CHS_Pages_Take Appointment_OR/i_fa fa-bars""))",Edge Chromium 120,,,27-01-2024 09:52:01,27-01-2024 09:52:02,0.705s,PASSED
"click(findTestObject(""Object Repository/CHS_Pages_Take Appointment_OR/a_Login""))",Edge Chromium 120,,,27-01-2024 09:52:02,27-01-2024 09:52:03,1.263s,PASSED
"click(findTestObject(""Object Repository/CHS_Pages_Take Appointment_OR/input_form-control""))",Edge Chromium 120,,,27-01-2024 09:52:03,27-01-2024 09:52:04,0.733s,PASSED
"setText(findTestObject(""Object Repository/CHS_Pages_Take Appointment_OR/input_username""), ""John Doe"")",Edge Chromium 120,,,27-01-2024 09:52:04,27-01-2024 09:52:05,0.999s,PASSED
"setEncryptedText(findTestObject(""Object Repository/CHS_Pages_Take Appointment_OR/input_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Edge Chromium 120,,,27-01-2024 09:52:05,27-01-2024 09:52:05,0.709s,PASSED
